S1,S2,S3,S4,A,R,SP1,SP2,SP3,SP4,TRML
0.167711744145717,-0.187633962154418,-0.0396675576299176,0.415992342385215,1,1,0.163959064902629,0.00802707236349157,-0.0313477107822133,0.11107246330417,FALSE
0.163959064902629,0.00802707236349157,-0.0313477107822133,0.11107246330417,0,1,0.164119606349899,-0.186631986467053,-0.0291262615161299,0.393702880163159,FALSE
0.164119606349899,-0.186631986467053,-0.0291262615161299,0.393702880163159,1,1,0.160386966620557,0.00889090449609398,-0.0212522039128667,0.0919810270118362,FALSE
0.160386966620557,0.00889090449609398,-0.0212522039128667,0.0919810270118362,0,1,0.160564784710479,-0.185920089041913,-0.01941258337263,0.377883851486747,FALSE
0.160564784710479,-0.185920089041913,-0.01941258337263,0.377883851486747,1,1,0.156846382929641,0.0094721057093442,-0.011854906342895,0.0791438414977085,FALSE
0.156846382929641,0.0094721057093442,-0.011854906342895,0.0791438414977085,0,1,0.157035825043828,-0.185477912535832,-0.0102720295129409,0.368063059746526,FALSE
0.157035825043828,-0.185477912535832,-0.0102720295129409,0.368063059746526,1,1,0.153326266793111,0.00978847914812306,-0.00291076831801035,0.0721590011062261,FALSE
0.153326266793111,0.00978847914812306,-0.00291076831801035,0.0721590011062261,0,1,0.153522036376074,-0.18529162147784,-0.00146758829588583,0.363922147746295,FALSE
0.153522036376074,-0.18529162147784,-0.00146758829588583,0.363922147746295,1,1,0.149816203946517,0.00985115669585812,0.00581085465904008,0.0707768249077273,FALSE
0.149816203946517,0.00985115669585812,0.00581085465904008,0.0707768249077273,0,1,0.150013227080434,-0.185353618124552,0.00722639115719463,0.365287425339775,FALSE
0.150013227080434,-0.185353618124552,0.00722639115719463,0.365287425339775,1,1,0.146306154717943,0.00966489524636094,0.0145321396639901,0.0748918337661529,FALSE
0.146306154717943,0.00966489524636094,0.0145321396639901,0.0748918337661529,0,1,0.14649945262287,-0.185662341198584,0.0160299763393132,0.372124050306639,FALSE
0.14649945262287,-0.185662341198584,0.0160299763393132,0.372124050306639,1,1,0.142786205798899,0.00922825760870796,0.023472457345446,0.0845383218404801,FALSE
0.142786205798899,0.00922825760870796,0.023472457345446,0.0845383218404801,0,1,0.142970770951073,-0.186222157806459,0.0251632237822556,0.384533453994199,FALSE
0.142970770951073,-0.186222157806459,0.0251632237822556,0.384533453994199,1,1,0.139246327794944,0.00853367663411997,0.0328538928621395,0.0998893923189526,FALSE
0.139246327794944,0.00853367663411997,0.0328538928621395,0.0998893923189526,1,1,0.139417001327626,0.203169747074311,0.0348516807085186,-0.182249856085704,FALSE
0.139417001327626,0.203169747074311,0.0348516807085186,-0.182249856085704,0,1,0.143480396269112,0.00756688290305235,0.0312066835868045,0.121220587936121,FALSE
0.143480396269112,0.00756688290305235,0.0312066835868045,0.121220587936121,1,1,0.143631733927173,0.202228155789622,0.0336310953455269,-0.161455877839424,FALSE
0.143631733927173,0.202228155789622,0.0336310953455269,-0.161455877839424,0,1,0.147676297042966,0.00664128482881282,0.0304019777887385,0.141644208509246,FALSE
0.147676297042966,0.00664128482881282,0.0304019777887385,0.141644208509246,1,1,0.147809122739542,0.20131492902424,0.0332348619589234,-0.141294513787877,FALSE
0.147809122739542,0.20131492902424,0.0332348619589234,-0.141294513787877,0,1,0.151835421320027,0.00573314068543632,0.0304089716831658,0.161685411084469,FALSE
0.151835421320027,0.00573314068543632,0.0304089716831658,0.161685411084469,1,1,0.151950084133736,0.20040685916324,0.0336426799048552,-0.121251305242903,FALSE
0.151950084133736,0.20040685916324,0.0336426799048552,-0.121251305242903,0,1,0.155958221317,0.00481946093176736,0.0312176537999971,0.181852861198565,FALSE
0.155958221317,0.00481946093176736,0.0312176537999971,0.181852861198565,1,1,0.156054610535636,0.199481126751398,0.0348547110239685,-0.100820870054599,FALSE
0.156054610535636,0.199481126751398,0.0348547110239685,-0.100820870054599,0,1,0.160044233070664,0.00387743876589147,0.0328382936228765,0.202651668327779,FALSE
0.160044233070664,0.00387743876589147,0.0328382936228765,0.202651668327779,1,1,0.160121781845981,0.19851474263038,0.0368913269894321,-0.079494162481309,FALSE
0.160121781845981,0.19851474263038,0.0368913269894321,-0.079494162481309,0,1,0.164092076698589,0.00288389579557286,0.0353014437398059,0.224596034741638,FALSE
0.164092076698589,0.00288389579557286,0.0353014437398059,0.224596034741638,1,1,0.164149754614501,0.197483992891078,0.0397933644346386,-0.056745779018714,FALSE
0.164149754614501,0.197483992891078,0.0397933644346386,-0.056745779018714,0,1,0.168099434472322,0.0018147334396543,0.0386584488542644,0.248221919116546,FALSE
0.168099434472322,0.0018147334396543,0.0386584488542644,0.248221919116546,1,1,0.168135729141115,0.19636387765491,0.0436228872365953,-0.0320210093974078,FALSE
